Unnamed: 0,model_name,dataset,date,Training_version,environment,developer_mode,wer,cer,results_path,notes,checkpoint-path,Training,commit_hash,dataset_evaluation_part,wer_per_mic_type,wer_per_session,wer_per_special_token,wer_per_mic,oversampling,training_time,data_portion in training,beamforming,num_trainable_parameters,diffusion,inference_time,precision
21.0,distil-whisper/distil-large-v3,dipco,10/30/2024,vanilla,cluster,N,0.7994969275281124,0.8563683561266067,distil-whisper/distil-large-v3_dipco_vanilla/results.json,1000 steps max,,T,a6e38dbd476dccbf72848b6299a4ef22276d3bbf,dev,"{'P': 0.26939024390243904, 'U': 0.6969512195121951}",{'04': 0.6256910569105691},"{""('No token',)"": 0.5358614232209737, ""('[noise]',)"": 0.6756156156156156, ""('[unintelligible]',)"": 0.7228775692582663}","{'p13': 0.4024767801857585, 'p14': 0.20279720279720279, 'p15': 0.21916118421052633, 'p16': 0.274031007751938, 'u01': 0.7787804878048781, 'u02': 0.6326829268292683, 'u03': 0.7112195121951219, 'u04': 0.6960975609756097, 'u05': 0.6659756097560976}",,,,,,,,
22.0,distil-whisper/distil-large-v3,dipco,11/05/2024,vanilla,cluster,N,0.5748536585365853,0.7953007994022816,distil-whisper/distil-large-v3_dipco_vanilla/results.json,1000 steps max,,T,c1341c215e0473e91f534dbfc601efd93f20f123,dev,"{'P': 0.3625609756097561, 'U': 0.7871463414634147}",{'04': 0.7163821138211383},"{""('No token',)"": 0.5989700374531836, ""('[noise]',)"": 0.8308108108108108, ""('[unintelligible]',)"": 0.7702412868632708}","{'p13': 0.4359133126934985, 'p14': 0.21106166560712014, 'p15': 0.2216282894736842, 'p16': 0.541860465116279, 'u01': 0.8530487804878049, 'u02': 0.7565853658536585, 'u03': 0.8278048780487804, 'u04': 0.7709756097560976, 'u05': 0.7273170731707317}",,,,,,,,
23.0,distil-whisper/distil-large-v3,dipco,11/07/2024,vanilla,cluster,N,0.5318780487804878,0.8239312257682787,distil-whisper/distil-large-v3_dipco_vanilla/results.json,1000 steps max,,T,47eb3c0380af1da74d70effdda0f57efc739760f,dev,"{'P': 0.31926829268292684, 'U': 0.7444878048780488}",{'04': 0.6736178861788618},"{""('No token',)"": 0.576498127340824, ""('[noise]',)"": 0.7535135135135135, ""('[unintelligible]',)"": 0.7401251117068811}","{'p13': 0.42724458204334365, 'p14': 0.3038779402415766, 'p15': 0.23026315789473684, 'p16': 0.3449612403100775, 'u01': 0.865609756097561, 'u02': 0.6663414634146342, 'u03': 0.7331707317073171, 'u04': 0.7134146341463414, 'u05': 0.7439024390243902}",,,,,,,,
24.0,distil-whisper/distil-large-v3,dipco,11/07/2024,vanilla,cluster,N,0.5046219512195121,1.140993993928147,distil-whisper/distil-large-v3_dipco_vanilla/results.json,1000 steps max with dipco dev,,NT,47eb3c0380af1da74d70effdda0f57efc739760f,dev,"{'P': 0.28585365853658534, 'U': 0.723390243902439}",{'04': 0.6504674796747968},"{""('No token',)"": 0.6699906367041198, ""('[noise]',)"": 0.6, ""('[unintelligible]',)"": 0.6882931188561215}","{'p13': 0.3634674922600619, 'p14': 0.22886204704386523, 'p15': 0.26973684210526316, 'p16': 0.2872093023255814, 'u01': 0.8010975609756098, 'u02': 0.6557317073170732, 'u03': 0.7352439024390244, 'u04': 0.7245121951219512, 'u05': 0.7003658536585365}",,,,,,,,
25.0,distil-whisper/distil-large-v3,dipco,11/07/2024,vanilla,cluster,N,0.5046219512195121,1.140993993928147,distil-whisper/distil-large-v3_dipco_vanilla/results.json,no oversampling on eval,,NT,e923682393bc8b9c64415791968e7ce7a60dfd72,dev,"{'P': 0.28585365853658534, 'U': 0.723390243902439}",{'04': 0.6504674796747968},"{""('No token',)"": 0.6699906367041198, ""('[noise]',)"": 0.6, ""('[unintelligible]',)"": 0.6882931188561215}","{'p13': 0.3634674922600619, 'p14': 0.22886204704386523, 'p15': 0.26973684210526316, 'p16': 0.2872093023255814, 'u01': 0.8010975609756098, 'u02': 0.6557317073170732, 'u03': 0.7352439024390244, 'u04': 0.7245121951219512, 'u05': 0.7003658536585365}",1.0,,,,,,,
26.0,distil-whisper/distil-large-v3,dipco,11/15/2024,vanilla,cluster,N,0.4974878048780488,1.7219080542038292,distil-whisper/distil-large-v3_dipco_vanilla/results.json,1000 steps oversampling with early stopping and patience 2,,T,4b5ea21551038cff77f62e4faf830449dcfda472,dev,"{'P': 0.24939024390243902, 'U': 0.7455853658536585}",{'04': 0.6628861788617886},"{""('No token',)"": 0.6283239700374532, ""('[noise]',)"": 0.6542342342342342, ""('[unintelligible]',)"": 0.741733690795353}","{'p13': 0.37089783281733746, 'p14': 0.22059758423394787, 'p15': 0.22491776315789475, 'p16': 0.21395348837209302, 'u01': 0.814390243902439, 'u02': 0.6689024390243903, 'u03': 0.7665853658536586, 'u04': 0.7591463414634146, 'u05': 0.7189024390243902}",1.0,720.1485932320356,clean-only,,,,,
27.0,distil-whisper/distil-large-v3,dipco,11/16/2024,vanilla,cluster,N,0.5664878048780487,1.247426924627155,distil-whisper/distil-large-v3_dipco_vanilla/results.json,1000 steps oversampling with early stopping and patience 2,,T,4b5ea21551038cff77f62e4faf830449dcfda472,dev,"{'P': 0.3157317073170732, 'U': 0.8172439024390243}",{'04': 0.7336585365853658},"{""('No token',)"": 0.6662453183520599, ""('[noise]',)"": 0.7806006006006005, ""('[unintelligible]',)"": 0.7924932975871314}","{'p13': 0.35356037151702785, 'p14': 0.3165924984106802, 'p15': 0.2158717105263158, 'p16': 0.3856589147286822, 'u01': 0.869390243902439, 'u02': 0.73, 'u03': 0.8552439024390244, 'u04': 0.8156097560975609, 'u05': 0.8159756097560975}",1.0,2677.183835275471,clean-only,,,,,
28.0,distil-whisper/distil-large-v3,dipco,11/16/2024,vanilla,cluster,N,0.4838170731707317,2.298102752943038,distil-whisper/distil-large-v3_dipco_vanilla/results.json,removed extra tokens from training df with early stopping and patience 2,,T,4b5ea21551038cff77f62e4faf830449dcfda472,dev,"{'P': 0.20573170731707316, 'U': 0.7619024390243903}",{'04': 0.6692073170731707},"{""('No token',)"": 0.6578183520599251, ""('[noise]',)"": 0.6465465465465465, ""('[unintelligible]',)"": 0.7246648793565683}","{'p13': 0.2934984520123839, 'p14': 0.18181818181818182, 'p15': 0.20559210526315788, 'p16': 0.16550387596899224, 'u01': 0.8269512195121951, 'u02': 0.7009756097560975, 'u03': 0.7829268292682927, 'u04': 0.7740243902439025, 'u05': 0.7246341463414634}",1.0,3624.52396081388,clean-only,,,,,
29.0,distil-whisper/distil-large-v3,dipco,11/17/2024,vanilla,cluster,N,0.4527195121951219,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,removed special tokens from dataframe 1000 steps oversampling with early stopping and patience 2,,T,4b5ea21551038cff77f62e4faf830449dcfda472,dev,"{'P': 0.2628048780487805, 'U': 0.6426341463414634}",{'04': 0.5793292682926829},"{""('No token',)"": 0.5213014981273408, ""('[noise]',)"": 0.5801201201201202, ""('[unintelligible]',)"": 0.6889186773905273}","{'p13': 0.3876160990712074, 'p14': 0.19071837253655435, 'p15': 0.2060032894736842, 'p16': 0.28217054263565894, 'u01': 0.7336585365853658, 'u02': 0.5660975609756097, 'u03': 0.6570731707317073, 'u04': 0.6375609756097561, 'u05': 0.618780487804878}",1.0,35429.137241855264,far-only,,,,,
30.0,distil-whisper/distil-large-v3,dipco,11/26/2024,vanilla,cluster,N,0.4617560975609756,0.9077282215057656,distil-whisper/distil-large-v3_dipco_vanilla/results.json,early normalization test on all the data,,T,cfc245085921c0641439684468578c81786abb05,dev,"{'P': 0.2545121951219512, 'U': 0.669}",{'04': 0.5999186991869919},"{""('No token',)"": 0.5564606741573034, ""('[noise]',)"": 0.595975975975976, ""('[unintelligible]',)"": 0.688739946380697}","{'p13': 0.38699690402476783, 'p14': 0.20089001907183726, 'p15': 0.20847039473684212, 'p16': 0.24767441860465117, 'u01': 0.756219512195122, 'u02': 0.5928048780487805, 'u03': 0.6825609756097561, 'u04': 0.6684146341463415, 'u05': 0.645}",1.0,1843.8034225776792,all,,,,,
